商品名称,价格,类目,描述
星耀X1手机,3299,数码,"6.78英寸AMOLED屏,5500mAh电池,67W有线+30W无线快充"
清透防晒霜,89,美妆,"SPF50+ PA++++,广谱防晒,清爽不油腻"
每日坚果礼盒,139,食品,"750g共30小包,6种坚果混合,独立包装锁鲜"
恒温保温杯,99,家居,"316不锈钢内胆,12小时长效保温"
乳胶记忆枕,199,家居,"泰国进口天然乳胶,慢回弹护颈"
轻羽无线吸尘器,899,家电,"轻至1.2kg,60分钟长续航,无线手持"
轻量跑步鞋,299,运动,"单只仅重210g,透气网面,适合日常慢跑"
便携折叠帐篷,259,户外,"双层防雨设计,3秒速开,适合2-3人"
经典直筒牛仔裤,199,服饰,"微弹面料,四季可穿,多尺码可选"
婴儿推车,899,母婴,"高景观设计,0-3岁适用,双向推行可平躺"
鲜肉全价成猫粮,159,宠物,"含85%动物性原料,粗蛋白40%,无谷配方"
宠物自动饮水机,129,宠物,"2.5L大容量,静音水泵,循环过滤"
智能电饭煲,399,厨具,"IH电磁加热,24小时预约,多种煮饭模式"
庄园挂耳咖啡,69,食品,"中度烘焙,坚果黑巧风味,10包装"
植萃氨基酸洗发水,79,美妆,"氨基酸表活,温和清洁,适合敏感头皮"
多功能空气炸锅,499,厨具,"这款空气炸锅采用360度热风循环技术,无油烹饪更健康,5.5升大容量满足全家需求,内置八大预设菜单,一键轻松操作,智能触控面板操作简单,炸篮不粘涂层清洗方便,炸薯条烤鸡翅样样精通,还支持60分钟定时和…"
全棉贡缎四件套,329,家居,"选用新疆长绒棉,60支贡缎工艺,面料柔软亲肤透气性好,活性印染不易褪色,被套拉链顺滑耐用,枕套信封式设计方便拆洗,床单铺上即平不易皱,机洗手洗皆可,四季通用不闷汗,简约纯色设计百搭各种装修风格,居家必…"
智能手环,199,数码,"睡眠监测,血氧心率双测"
爆款电热水壶,89,厨具,"1.5L大容量,304不锈钢,自动断电"
